timestamp,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1692360000.123456,CjOgHd3zy8QZy5QaKd,192.168.1.100,54321,8.8.8.8,53,udp,15423,0.025,google.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,142.250.185.14,300,F
1692360001.234567,CkPgHe4zz9RZz6RbLe,192.168.1.100,54322,8.8.8.8,53,udp,15424,0.030,malicious-domain.evil,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,1.2.3.4,300,F
1692360002.345678,ClQgHf5z0ASA7ScMf,192.168.1.101,54323,8.8.8.8,53,udp,15425,0.027,github.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,140.82.114.4,300,F
1692360003.456789,CmRgHg6z1BTB8TdNg,192.168.1.102,54324,8.8.8.8,53,udp,15426,0.032,suspicious-c2.badactor,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,5.6.7.8,300,F
1692360004.567890,CnSgHh7z2CUC9UeOh,192.168.1.100,54325,8.8.8.8,53,udp,15427,0.028,microsoft.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,13.107.42.14,300,F
1692360005.678901,CoTgHi8z3DVDaVfPi,192.168.1.103,54326,8.8.8.8,53,udp,15428,0.045,cryptominer.pool,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,9.10.11.12,300,F
1692360006.789012,CpUgHj9z4EWEbWgQj,192.168.1.100,54327,8.8.8.8,53,udp,15429,0.025,facebook.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,157.240.11.35,300,F
1692360007.890123,CqVgHk0z5FXFcXhRk,192.168.1.104,54328,8.8.8.8,53,udp,15430,0.033,phishing-site.scam,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,13.14.15.16,300,F
1692360008.901234,CrWgHl1z6GYGdYiSl,192.168.1.100,54329,8.8.8.8,53,udp,15431,0.029,amazon.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,176.32.103.205,300,F
1692360009.012345,CsXgHm2z7HZHeZjTm,192.168.1.105,54330,8.8.8.8,53,udp,15432,0.058,data-exfil.attacker,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0,17.18.19.20,300,F
